ORDER_COUNT_Sum_L6M,ORDER_COUNT_Sum_L1M,PAYMENT_TYPE_boleto_PAYMENT_VALUE_Sum_L1M,PAYMENT_TYPE_credit_card_ORDER_COUNT_Sum_L1M,PAYMENT_TYPE_voucher_ORDER_COUNT_Sum_L1M,ORDER_COUNT_Sum_L3M,ORDER_COUNT_Mean_L3M,ORDER_COUNT_Median_L3M,PAYMENT_TYPE_boleto_PAYMENT_VALUE_Sum_L3M,PAYMENT_TYPE_boleto_PAYMENT_VALUE_Mean_L3M,PAYMENT_TYPE_boleto_PAYMENT_VALUE_Median_L3M,PAYMENT_TYPE_credit_card_PAYMENT_VALUE_Sum_L3M,PAYMENT_TYPE_boleto_ORDER_COUNT_Sum_L3M,PAYMENT_TYPE_boleto_ORDER_COUNT_Mean_L3M,PAYMENT_TYPE_boleto_ORDER_COUNT_Median_L3M,PAYMENT_TYPE_credit_card_ORDER_COUNT_Sum_L3M,PAYMENT_TYPE_credit_card_ORDER_COUNT_Mean_L3M,PAYMENT_TYPE_credit_card_ORDER_COUNT_Median_L3M,PAYMENT_TYPE_voucher_ORDER_COUNT_Sum_L3M,PAYMENT_TYPE_voucher_ORDER_COUNT_Mean_L3M,PAYMENT_TYPE_voucher_ORDER_COUNT_Median_L3M,ORDER_COUNT_Mean_L6M,ORDER_COUNT_Median_L6M,PAYMENT_TYPE_boleto_PAYMENT_VALUE_Sum_L6M,PAYMENT_TYPE_boleto_PAYMENT_VALUE_Mean_L6M,PAYMENT_TYPE_boleto_PAYMENT_VALUE_Median_L6M,PAYMENT_TYPE_credit_card_ORDER_COUNT_Sum_L6M,PAYMENT_TYPE_credit_card_ORDER_COUNT_Mean_L6M,PAYMENT_TYPE_credit_card_ORDER_COUNT_Median_L6M,DAYS_LAST_TRANSACT_PAYMENT_TYPE_voucher_ORDER,PAYMENT_TYPE_voucher_ORDER_COUNT_Sum_L6M,PAYMENT_TYPE_voucher_ORDER_COUNT_Mean_L6M,PAYMENT_TYPE_voucher_ORDER_COUNT_Median_L6M,prediction
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,141.9,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27.189999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,86.22,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43.62,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,196.89,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,166.98,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,35.379999,0.0,0.0,1.0,1.0,1.0,35.379999,35.379999,35.379999,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.379999,35.379999,35.379999,0.0,0.0,0.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,838.36,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,150.12,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,129.76,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,126.259999,0.0,0.0,1.0,1.0,1.0,126.259999,126.259999,126.259999,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,126.259999,126.259999,126.259999,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,63.66,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,82.05,0.0,0.0,1.0,1.0,1.0,82.05,82.05,82.05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,82.05,82.05,82.05,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,91.28,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,46.85,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,36.68,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,514.88,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20.75,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,325.93,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,61.8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,424.32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,76.11,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,297.14,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,192.829999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,117.94,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,155.65,0.0,0.0,1.0,1.0,1.0,155.65,155.65,155.65,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,155.65,155.65,155.65,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,99.82,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,58.86,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,182.42,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,87.71,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,197.269998,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,36.73,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.23,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,116.229998,0.0,0.0,1.0,1.0,1.0,116.229998,116.229998,116.229998,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,116.229998,116.229998,116.229998,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,135.079999,0.0,0.0,1.0,1.0,1.0,135.079999,135.079999,135.079999,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,135.079999,135.079999,135.079999,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,35.839999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,237.81,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,107.44,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,46.78,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,61.33,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,N
1.0,1.0,118.199998,0.0,0.0,1.0,1.0,1.0,118.199998,118.199998,118.199998,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,118.199998,118.199998,118.199998,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,515.74,0.0,0.0,1.0,1.0,1.0,515.74,515.74,515.74,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,515.74,515.74,515.74,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,52.379999,0.0,0.0,1.0,1.0,1.0,52.379999,52.379999,52.379999,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.379999,52.379999,52.379999,0.0,0.0,0.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,217.739998,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,437.32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,64.42,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,38.089999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,228.67,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,28.759998,0.0,0.0,1.0,1.0,1.0,28.759998,28.759998,28.759998,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.759998,28.759998,28.759998,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,130.56,0.0,0.0,1.0,1.0,1.0,130.56,130.56,130.56,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,130.56,130.56,130.56,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,52.379999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,137.989998,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,109.789999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,114.039999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,77.57,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,62.47,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,78.05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,144.94,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,44.23,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1092.24,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21.77,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,42.62,0.0,0.0,1.0,1.0,1.0,42.62,42.62,42.62,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.62,42.62,42.62,0.0,0.0,0.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,162.769998,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,109.5,0.0,0.0,1.0,1.0,1.0,109.5,109.5,109.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,109.5,109.5,109.5,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,65.78,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,443.729998,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,143.73,0.0,0.0,1.0,1.0,1.0,143.73,143.73,143.73,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,143.73,143.73,143.73,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,228.79,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,N
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,107.809998,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,36.98,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,0.0,0.0,Y
1.0,1.0,142.51,0.0,0.0,1.0,1.0,1.0,142.51,142.51,142.51,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,142.51,142.51,142.51,0.0,0.0,0.0,999.0,0.0,0.0,0.0,N
